Subject,Condition,Accuracy,RT
105,hungover,1,937
105,hungover,1,800
105,hungover,1,485
105,hungover,1,518
105,hungover,1,427
105,hungover,1,527
105,hungover,1,519
105,hungover,1,1022
105,hungover,1,475
105,hungover,1,474
105,hungover,1,682
105,hungover,1,448
105,hungover,1,391
105,hungover,1,455
105,hungover,1,406
105,hungover,1,373
105,hungover,1,290
105,hungover,1,256
105,hungover,1,817
105,hungover,1,470
105,hungover,1,429
105,hungover,1,459
105,hungover,1,440
105,hungover,1,401
105,hungover,1,451
105,hungover,1,474
105,hungover,0,359
105,hungover,1,574
105,hungover,1,474
105,hungover,1,736
105,hungover,1,448
105,hungover,1,471
105,hungover,1,488
105,hungover,1,701
105,hungover,1,449
105,hungover,1,810
105,hungover,1,517
105,hungover,1,811
105,hungover,1,486
105,hungover,1,434
105,hungover,1,400
105,hungover,1,451
105,hungover,1,601
105,hungover,1,481
105,hungover,1,469
105,hungover,1,384
105,hungover,1,596
105,hungover,1,395
105,hungover,1,350
105,hungover,1,368
105,hungover,1,361
105,hungover,1,473
105,hungover,1,500
105,hungover,0,348
105,hungover,1,337
105,hungover,1,498
105,hungover,1,494
105,hungover,1,445
105,hungover,1,441
105,hungover,1,400
105,hungover,1,518
105,hungover,1,431
105,hungover,1,380
105,hungover,1,571
105,hungover,1,427
105,hungover,1,388
105,hungover,0,469
105,hungover,1,480
105,hungover,1,461
105,hungover,1,387
105,hungover,1,492
105,hungover,0,398
105,hungover,1,402
105,hungover,1,558
105,hungover,1,512
105,hungover,1,390
105,hungover,0,404
105,hungover,1,570
105,hungover,1,453
105,hungover,1,551
105,hungover,1,489
105,hungover,1,515
105,hungover,1,748
105,hungover,1,519
105,hungover,1,687
105,hungover,1,476
105,hungover,1,410
105,hungover,1,991
105,hungover,1,452
105,hungover,1,626
105,hungover,1,622
105,hungover,1,620
105,hungover,1,487
105,hungover,1,513
105,hungover,1,401
105,hungover,1,475
105,hungover,1,522
105,hungover,1,524
105,hungover,1,544
105,hungover,1,752
105,hungover,1,417
105,hungover,1,463
105,hungover,1,400
105,hungover,1,380
105,hungover,1,489
105,hungover,1,494
105,hungover,1,367
105,hungover,1,371
105,hungover,1,362
105,hungover,1,382
105,hungover,1,696
105,hungover,1,553
105,hungover,1,573
105,hungover,1,349
105,hungover,1,485
105,hungover,1,338
105,hungover,1,720
105,hungover,1,531
105,hungover,1,690
105,hungover,1,426
105,hungover,1,516
105,hungover,1,929
105,hungover,1,532
105,hungover,1,509
105,hungover,1,397
105,hungover,1,350
105,hungover,1,515
105,hungover,1,470
105,hungover,1,373
105,hungover,1,738
105,hungover,1,573
105,hungover,1,596
105,hungover,1,889
105,hungover,1,471
105,hungover,1,945
105,hungover,1,568
105,hungover,1,464
105,hungover,1,739
105,hungover,1,453
105,hungover,1,417
105,hungover,0,321
105,hungover,1,500
105,hungover,1,467
105,hungover,0,644
107,hungover,1,473
107,hungover,1,493
107,hungover,1,580
107,hungover,1,514
107,hungover,1,527
107,hungover,1,484
107,hungover,1,560
107,hungover,1,441
107,hungover,1,548
107,hungover,1,521
107,hungover,1,452
107,hungover,1,453
107,hungover,1,435
107,hungover,1,426
107,hungover,1,386
107,hungover,1,369
107,hungover,1,543
107,hungover,1,586
107,hungover,1,453
107,hungover,1,416
107,hungover,1,430
107,hungover,1,847
107,hungover,1,514
107,hungover,1,520
107,hungover,1,466
107,hungover,1,534
107,hungover,1,460
107,hungover,1,530
107,hungover,1,544
107,hungover,1,519
107,hungover,1,417
107,hungover,1,485
107,hungover,1,494
107,hungover,1,478
107,hungover,1,426
107,hungover,1,631
107,hungover,1,525
107,hungover,1,390
107,hungover,1,475
107,hungover,1,366
107,hungover,1,599
107,hungover,1,502
107,hungover,1,391
107,hungover,1,384
107,hungover,1,549
107,hungover,1,385
107,hungover,1,688
107,hungover,1,493
107,hungover,1,424
107,hungover,1,451
107,hungover,1,493
107,hungover,1,616
107,hungover,1,552
107,hungover,1,409
107,hungover,1,399
107,hungover,1,447
107,hungover,1,441
107,hungover,1,520
107,hungover,1,450
107,hungover,1,457
107,hungover,1,414
107,hungover,1,528
107,hungover,1,796
107,hungover,1,493
107,hungover,1,557
107,hungover,1,645
107,hungover,1,572
107,hungover,1,454
107,hungover,1,477
107,hungover,1,453
107,hungover,1,483
107,hungover,1,507
107,hungover,1,536
107,hungover,1,434
107,hungover,1,529
107,hungover,1,408
107,hungover,1,545
107,hungover,1,566
107,hungover,1,583
107,hungover,1,456
107,hungover,1,521
107,hungover,1,571
107,hungover,1,416
107,hungover,1,503
107,hungover,1,528
107,hungover,0,472
107,hungover,1,951
107,hungover,1,565
107,hungover,1,569
107,hungover,1,580
107,hungover,1,573
107,hungover,1,579
107,hungover,1,683
107,hungover,1,393
107,hungover,1,500
107,hungover,1,499
107,hungover,1,442
107,hungover,1,582
107,hungover,1,602
107,hungover,1,425
107,hungover,1,551
107,hungover,1,590
107,hungover,1,486
107,hungover,1,537
107,hungover,1,481
107,hungover,1,481
107,hungover,1,424
107,hungover,1,390
107,hungover,1,456
107,hungover,1,395
107,hungover,1,654
107,hungover,1,446
107,hungover,1,377
107,hungover,1,410
107,hungover,0,508
107,hungover,1,925
107,hungover,1,570
107,hungover,1,574
107,hungover,1,653
107,hungover,1,825
107,hungover,1,540
107,hungover,1,451
107,hungover,1,446
107,hungover,1,790
107,hungover,1,421
107,hungover,1,589
107,hungover,1,399
107,hungover,1,456
107,hungover,0,413
107,hungover,1,662
107,hungover,1,736
107,hungover,1,647
107,hungover,1,578
107,hungover,1,632
107,hungover,1,546
107,hungover,1,518
107,hungover,1,580
107,hungover,1,501
107,hungover,1,522
107,hungover,1,512
107,hungover,1,556
107,hungover,1,681
107,hungover,1,606
107,hungover,1,787
107,hungover,1,523
107,hungover,1,393
107,hungover,1,402
107,hungover,1,433
107,hungover,1,492
107,hungover,1,563
107,hungover,1,447
107,hungover,1,509
107,hungover,1,426
107,hungover,1,557
107,hungover,1,425
107,hungover,1,411
107,hungover,1,430
107,hungover,1,422
107,hungover,1,413
107,hungover,0,387
107,hungover,1,423
107,hungover,1,529
107,hungover,1,500
107,hungover,1,578
107,hungover,1,466
107,hungover,1,555
107,hungover,0,398
107,hungover,1,700
107,hungover,1,461
107,hungover,1,529
107,hungover,1,632
107,hungover,1,744
107,hungover,1,502
107,hungover,1,584
107,hungover,1,765
107,hungover,1,646
107,hungover,1,475
107,hungover,1,482
107,hungover,1,479
107,hungover,1,452
107,hungover,1,472
107,hungover,1,546
107,hungover,1,747
107,hungover,1,561
107,hungover,1,478
107,hungover,1,522
107,hungover,1,765
107,hungover,1,514
107,hungover,1,463
107,hungover,1,509
107,hungover,1,2195
107,hungover,1,1723
107,hungover,1,543
107,hungover,1,717
107,hungover,1,447
107,hungover,1,486
107,hungover,1,998
107,hungover,1,571
107,hungover,1,367
107,hungover,1,499
107,hungover,1,573
107,hungover,1,620
107,hungover,1,661
107,hungover,1,602
109,hungover,1,946
109,hungover,1,506
109,hungover,1,727
109,hungover,0,571
109,hungover,1,402
109,hungover,1,446
109,hungover,1,523
109,hungover,1,510
109,hungover,1,669
109,hungover,1,482
109,hungover,1,668
109,hungover,1,502
109,hungover,0,559
109,hungover,0,451
109,hungover,1,1080
109,hungover,1,1465
109,hungover,1,540
109,hungover,1,1046
109,hungover,1,403
109,hungover,1,465
109,hungover,1,622
109,hungover,1,594
109,hungover,1,568
109,hungover,1,484
109,hungover,1,554
109,hungover,1,524
109,hungover,1,563
109,hungover,1,464
109,hungover,1,579
109,hungover,1,824
109,hungover,1,907
109,hungover,1,608
109,hungover,1,678
109,hungover,1,528
109,hungover,0,565
109,hungover,1,1011
109,hungover,1,684
109,hungover,1,495
109,hungover,1,490
109,hungover,1,592
109,hungover,1,557
109,hungover,1,486
109,hungover,1,753
109,hungover,1,1104
109,hungover,1,710
109,hungover,1,771
109,hungover,0,1083
109,hungover,1,660
109,hungover,1,538
109,hungover,1,736
109,hungover,1,661
109,hungover,1,995
109,hungover,1,632
109,hungover,0,795
109,hungover,0,673
109,hungover,1,870
109,hungover,1,669
109,hungover,1,608
109,hungover,1,504
109,hungover,1,651
109,hungover,1,575
109,hungover,1,496
109,hungover,1,674
109,hungover,1,622
109,hungover,1,1042
109,hungover,1,687
109,hungover,1,954
109,hungover,1,1046
109,hungover,1,3274
109,hungover,1,676
109,hungover,1,598
109,hungover,1,1074
109,hungover,1,2081
109,hungover,1,585
109,hungover,1,704
109,hungover,1,1905
109,hungover,1,627
109,hungover,1,2009
109,hungover,1,754
109,hungover,1,534
109,hungover,1,521
109,hungover,1,690
109,hungover,1,469
109,hungover,1,553
109,hungover,1,437
109,hungover,1,498
109,hungover,1,417
109,hungover,1,407
109,hungover,1,391
109,hungover,1,559
109,hungover,1,765
109,hungover,1,468
109,hungover,1,532
109,hungover,1,737
109,hungover,1,504
109,hungover,1,610
109,hungover,1,770
109,hungover,1,716
109,hungover,1,489
109,hungover,0,582
109,hungover,1,588
109,hungover,1,689
109,hungover,1,593
109,hungover,1,556
109,hungover,1,619
109,hungover,1,499
109,hungover,1,528
109,hungover,0,496
109,hungover,1,455
109,hungover,1,837
109,hungover,1,743
109,hungover,1,759
109,hungover,1,498
109,hungover,1,541
109,hungover,1,587
109,hungover,1,1211
109,hungover,1,473
109,hungover,1,610
109,hungover,1,791
109,hungover,1,884
109,hungover,1,607
109,hungover,1,627
109,hungover,1,557
109,hungover,1,458
109,hungover,1,522
109,hungover,1,518
109,hungover,1,436
109,hungover,1,2486
109,hungover,1,5033
109,hungover,1,662
109,hungover,1,1680
109,hungover,1,689
109,hungover,0,619
109,hungover,0,819
109,hungover,1,661
109,hungover,1,635
109,hungover,1,707
109,hungover,1,678
109,hungover,1,532
109,hungover,1,667
109,hungover,1,836
109,hungover,1,1326
109,hungover,1,1244
109,hungover,1,1489
109,hungover,1,1042
109,hungover,1,1522
109,hungover,1,1046
109,hungover,1,1429
109,hungover,0,1050
109,hungover,0,822
